"","Time","Zone","Region_Name","Aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"263","Modern","Purcell","ESSFwmw","cool",26,12,1,0,105,71,4050,4050
"264","Modern","Purcell","ESSFwmw","warm",26,9,1,0,105,51,4050,2700
"265","Modern","Purcell","ICHdm","cool",63,55,0,0,416,412,405,405
"266","Modern","Purcell","ICHdm","warm",63,3,0,0,416,16,405,253
"267","Modern","Purcell","ICHmk5","cool",74,74,74,74,74,74,4050,4050
"268","Modern","Purcell","ICHmw2","cool",42,40,24,20,61,60,2700,2700
"269","Modern","Purcell","ICHmw2","warm",42,2,24,1,61,3,2700,8100
"270","Modern","Purcell","IDFdk5","cool",70,4,1,0,346,16,1620,2700
"271","Modern","Purcell","IDFdk5","warm",70,55,1,0,346,323,1620,1620
"272","Modern","Purcell","IDFdm2","cool",275,31,0,0,1779,189,213,225
"273","Modern","Purcell","IDFdm2","warm",275,228,0,0,1779,1586,213,213
"274","Modern","Purcell","IDFxk","cool",11,5,0,0,23,11,81,81
"275","Modern","Purcell","IDFxk","warm",11,6,0,0,23,11,81,81
"276","Modern","Purcell","IMAun","cool",10,5,0,0,34,21,1620,2025
"277","Modern","Purcell","IMAun","warm",10,5,0,0,34,14,1620,231
"278","Modern","Purcell","MSdk","cool",94,83,0,0,638,536,1012,1012
"279","Modern","Purcell","MSdk","warm",94,9,0,0,638,98,1012,1012
"280","Modern","Purcell","MSdw","cool",586,423,1,1,2033,1694,231,231
"281","Modern","Purcell","MSdw","warm",586,15,1,0,2033,116,231,253
"282","Modern","Purcell","ESSFwcp","cool",NA,NA,NA,NA,NA,NA,NA,NA
"283","Modern","Purcell","ESSFwcp","warm",NA,NA,NA,NA,NA,NA,NA,NA
"284","Modern","Purcell","ESSFwcw","cool",NA,NA,NA,NA,NA,NA,NA,NA
"285","Modern","Purcell","ESSFwcw","warm",NA,NA,NA,NA,NA,NA,NA,NA
"286","Modern","Purcell","ICHmk5","warm",74,NA,74,NA,74,NA,4050,NA
