"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"191","RCP8.5","Kootenay South","ICHmk4",5e+07,0.01,0.01,0.01,0.01
"192","RCP8.5","Kootenay South","ESSFdk1",1e+09,0.01,0.01,0.01,0.01
"193","RCP8.5","Kootenay South","ESSFwm1",1e+08,0.008,0.008,0.008,0.008
"194","RCP8.5","Kootenay South","ESSFdk2",7e+07,0.009,0.009,0.009,0.009
"195","RCP8.5","Kootenay South","ICHmw2",1e+07,0.004,0.004,0.004,0.004
"196","RCP8.5","Kootenay South","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"197","RCP8.5","Kootenay South","ESSFwm2",2e+08,0.004,0.004,0.004,0.004
"198","RCP8.5","Kootenay South","MSdw",1e+09,0.02,0.02,0.02,0.02
"199","RCP8.5","Kootenay South","IDFdm2",2e+09,0.05,0.06,0.06,0.06
"200","RCP8.5","Kootenay South","IDFxx2",8e+08,0.07,0.07,0.07,0.07
"201","RCP8.5","Kootenay South","ICHxw",1e+07,0.01,0.01,0.01,0.01
"202","RCP8.5","Kootenay South","ICHdw1",2e+08,0.02,0.02,0.02,0.02
"203","RCP8.5","Kootenay South","IDFxk",2e+05,0.05,0.05,0.05,0.05
"204","RCP8.5","Kootenay North","ESSFdkp",9e+07,0.005,0.006,0.005,0.005
"205","RCP8.5","Kootenay North","ESSFdkw",4e+08,0.006,0.007,0.007,0.007
"206","RCP8.5","Kootenay North","IMAun",1e+07,0.003,0.004,0.003,0.003
"207","RCP8.5","Kootenay North","ESSFwm1",1e+07,0.008,0.008,0.008,0.008
"208","RCP8.5","Kootenay North","MSdk",8e+08,0.02,0.02,0.02,0.02
"209","RCP8.5","Kootenay North","ESSFwmw",8e+06,0.006,0.006,0.006,0.006
"210","RCP8.5","Kootenay North","ESSFdk2",1e+09,0.009,0.009,0.009,0.009
"211","RCP8.5","Kootenay North","ESSFwmp",6e+06,0.004,0.004,0.004,0.004
"212","RCP8.5","Kootenay North","ESSFdk1",5e+07,0.01,0.01,0.01,0.01
"213","RCP8.5","Kootenay North","MSdw",5e+07,0.02,0.02,0.02,0.02
"214","RCP8.5","Kootenay North","IDFdm2",7e+07,0.06,0.06,0.06,0.06
"215","RCP8.5","Kootenay North","ICHmk5",1e+08,0.02,0.02,0.02,0.02
"216","RCP8.5","Elk","ESSFdkp",6e+07,0.005,0.006,0.005,0.005
"217","RCP8.5","Elk","ESSFdkw",5e+08,0.006,0.007,0.007,0.007
"218","RCP8.5","Elk","IMAun",7e+05,0.003,0.003,0.003,0.003
"219","RCP8.5","Elk","ESSFwmp",9e+06,0.004,0.004,0.004,0.004
"220","RCP8.5","Elk","ESSFwmw",2e+08,0.006,0.006,0.006,0.006
"221","RCP8.5","Elk","MSdk",3e+08,0.02,0.02,0.02,0.02
"222","RCP8.5","Elk","ICHmk4",6e+08,0.01,0.01,0.01,0.01
"223","RCP8.5","Elk","ESSFdk1",1e+09,0.01,0.01,0.01,0.01
"224","RCP8.5","Elk","ESSFwm1",5e+08,0.008,0.008,0.008,0.008
"225","RCP8.5","Elk","ESSFdk2",5e+08,0.009,0.009,0.009,0.009
"226","RCP8.5","Elk","ICHdm",4e+07,0.02,0.02,0.02,0.02
"227","RCP8.5","Elk","MSdw",9e+08,0.02,0.02,0.02,0.02
"228","RCP8.5","Elk","IDFdm2",7e+06,0.06,0.06,0.06,0.06
