OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
50,30,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,5000.000000000000000,435000.000000000000000,5000.000000000000000,5117468.000000000000000,6,warm,ESSFdkpwarm,1115.722157733859149,3463.648069073747592,0.346364806907375
51,31,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,2,cool,ESSFdkwcool,8158.345664673708598,482623.676053129835054,48.262367605312988
52,31,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,6,warm,ESSFdkwwarm,2084.227568591953059,64334.526507833819778,6.433452650783383
53,32,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,302003.426299999991897,3084.809699999999793,302003.000000000000000,3085.000000000000000,5121030.000000000000000,2,cool,ESSFwmwcool,3193.338719909894280,128946.738873014430283,12.894673887301444
54,32,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,302003.426299999991897,3084.809699999999793,302003.000000000000000,3085.000000000000000,5121030.000000000000000,6,warm,ESSFwmwwarm,1055.536414654492319,5090.808104938176257,0.509080810493818
55,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,2,cool,ESSFdkwcool,42544.941190061435918,2220908.599637505598366,222.090859963750574
56,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,5,cool,ESSFdkwcool,499.940444324139207,4374.200109227023859,0.437420010922702
57,33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4440000.000000000000000,30200.000000000000000,4440000.000000000000000,30200.000000000000000,5117730.000000000000000,6,warm,ESSFdkwwarm,20865.594889199688623,499242.969746696529910,49.924296974669659
58,34,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1997500.000000000000000,12400.000000000000000,1997500.000000000000000,12400.000000000000000,5117488.000000000000000,2,cool,ESSFdkpcool,6099.050166801064734,280217.259639311814681,28.021725963931182
59,34,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1997500.000000000000000,12400.000000000000000,1997500.000000000000000,12400.000000000000000,5117488.000000000000000,6,warm,ESSFdkpwarm,67.190405280907555,90.882401286466546,0.009088240128647
60,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,2,cool,ESSFdkwcool,151203.955703946441645,6296096.697391834110022,629.609669739183460
61,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,5,cool,ESSFdkwcool,3749.620715349753937,43105.889193785551470,4.310588919378556
62,35,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,15239827.981499999761581,101501.288100000005215,15239828.000000000000000,101501.000000000000000,5117727.000000000000000,6,warm,ESSFdkwwarm,90427.093715927665471,2432356.989365986082703,243.235698936598624
63,36,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2717672.018499999772757,15101.288099999999758,2717672.000000000000000,15101.000000000000000,5117480.000000000000000,2,cool,ESSFdkpcool,17628.063839119906334,1583171.176641111262143,158.317117664111123
