OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
66,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,2770000.000000000000000,26700.000000000000000,2770000.000000000000000,26700.000000000000000,5121026.000000000000000,6501.907578556781118,640250.476355908904225,64.025047635590894
67,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3450425.343299999833107,33401.768199999998615,3450425.000000000000000,33402.000000000000000,5120854.000000000000000,18085.446066320295358,586270.071720040636137,58.627007172004063
68,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1482500.000000000000000,10900.000000000000000,1482500.000000000000000,10900.000000000000000,5120881.000000000000000,1028.203779753394201,23015.282915517025685,2.301528291551703
69,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,212500.000000000000000,3500.000000000000000,212500.000000000000000,3500.000000000000000,5121953.000000000000000,702.951490851302651,14246.438444002342294,1.424643844400234
70,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,380000.000000000000000,3700.000000000000000,380000.000000000000000,3700.000000000000000,5121935.000000000000000,89.503280531945137,325.305489926081066,0.032530548992608
71,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,24974859.872099999338388,52509.092700000001059,24974860.000000000000000,52509.000000000000000,5121446.000000000000000,50800.094101347167452,22226026.607305675745010,2222.602660730567550
72,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,447142.460100000025705,5604.747299999999996,447142.000000000000000,5605.000000000000000,5117423.000000000000000,5441.558375247804179,234682.273464878409868,23.468227346487843
73,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,509353.045700000016950,7056.289300000000367,509353.000000000000000,7056.000000000000000,5121016.000000000000000,1553.554653183731261,88633.089372441841988,8.863308937244184
74,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,2630.448856381290170,87464.323322868498508,8.746432332286851
75,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1133837.239617061102763,216038099.241371691226959,21603.809924137171038
76,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,542299.343711581896059,59715937.612991839647293,5971.593761299183825
77,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,974239.080821319017559,151570674.007449656724930,15157.067400744967017
78,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,532768186.968100011348724,573335.544200000003912,532768187.000000000000000,573336.000000000000000,5125222.000000000000000,655508.197442183503881,416360927.705841362476349,41636.092770584138634
